image_path,skin_tone,foundation_shadename,foundation_layer,foundation_ml,lipstick_shadename,lipstick_layer,blush_shadename,blush_layers,mascara_shade,mascara_layer,concealer_shadename,concealer_layer,longevity,risk_management,cost_of_makeup,mode,occasion,weather_type
images/63.jpg,medium,sand,2,4,red,1,soft_blush,2,black,1,natural_concealer,1,12hrs,medium,1676,occasion,office,normal
images/189.jpg,medium,beige,1,3,coral,2,soft_blush,1,black,3,natural_concealer,2,10hrs,low,2646,simple,normal,normal
images/77.jpg,medium,sand,2,4,red,3,soft_blush,2,black,2,natural_concealer,1,10hrs,low,2110,simple,normal,normal
images/638.jpg,dark,espresso,2,4,plum,1,soft_blush,1,black,2,natural_concealer,1,6hrs,low,1172,weather,normal,humid
images/604.jpg,dark,mocha,2,3,wine,3,soft_blush,1,black,3,natural_concealer,1,8hrs,high,2660,weather,normal,humid
images/162.jpg,dark,mocha,3,5,wine,2,soft_blush,1,black,1,natural_concealer,2,8hrs,high,2995,occasion,casual,normal
images/176.jpg,medium,sand,3,2,red,2,soft_blush,2,black,1,natural_concealer,2,8hrs,medium,1644,weather,normal,humid
images/88.jpg,medium,beige,1,4,red,3,soft_blush,2,black,2,natural_concealer,1,12hrs,high,2560,simple,normal,normal
images/610.jpg,medium,sand,3,3,bold_coral,3,soft_blush,2,black,3,natural_concealer,2,10hrs,high,2013,occasion,party,normal
images/348.jpg,medium,matte_beige,1,3,nude,3,soft_blush,1,black,3,natural_concealer,2,6hrs,low,1396,weather,normal,hot
images/360.jpg,medium,matte_warm_beige,1,3,nude,2,soft_blush,2,black,3,natural_concealer,2,8hrs,low,2799,weather,normal,hot
images/406.jpg,medium,sand,1,4,coral,3,soft_blush,2,black,3,natural_concealer,1,12hrs,medium,1729,simple,normal,normal
images/412.jpg,medium,beige,3,2,coral,2,soft_blush,1,black,3,natural_concealer,1,8hrs,low,1337,simple,normal,normal
images/374.jpg,medium,matte_sand,2,2,nude,1,soft_blush,1,black,1,natural_concealer,1,8hrs,medium,1536,weather,normal,hot
images/599.jpg,medium,sand,2,5,nude,2,soft_blush,2,black,2,natural_concealer,2,10hrs,high,2392,simple,normal,normal
images/228.jpg,medium,beige,3,4,nude,3,soft_blush,1,black,3,natural_concealer,2,12hrs,low,2378,weather,normal,cold
images/214.jpg,medium,sand,1,3,coral,3,soft_blush,1,black,2,natural_concealer,2,6hrs,low,2249,occasion,wedding,normal
images/572.jpg,medium,sand,2,4,nude,1,soft_blush,1,black,1,natural_concealer,1,6hrs,medium,1279,simple,normal,normal
images/566.jpg,medium,warm_beige,2,2,nude,2,soft_blush,1,black,3,natural_concealer,1,12hrs,medium,546,weather,normal,humid
images/200.jpg,medium,sand,1,5,red,2,soft_blush,1,black,1,natural_concealer,1,6hrs,low,2391,simple,normal,normal
images/567.jpg,medium,beige,1,3,coral,3,soft_blush,2,black,1,natural_concealer,1,10hrs,low,1040,simple,normal,normal
images/201.jpg,medium,warm_beige,1,3,bold_red,2,soft_blush,1,black,1,natural_concealer,2,10hrs,medium,1824,occasion,party,normal
images/215.jpg,medium,matte_sand,1,3,nude,1,soft_blush,1,black,1,natural_concealer,1,10hrs,medium,1043,weather,normal,hot
images/573.jpg,dark,espresso,3,4,plum,3,soft_blush,1,black,1,natural_concealer,1,12hrs,low,2940,simple,normal,normal
images/229.jpg,medium,sand,3,2,coral,2,soft_blush,2,black,1,natural_concealer,1,8hrs,low,1601,occasion,casual,normal
images/598.jpg,medium,beige,3,4,red,2,soft_blush,1,black,1,natural_concealer,2,12hrs,medium,1902,occasion,office,normal
images/413.jpg,medium,beige,1,3,nude,1,soft_blush,2,black,3,natural_concealer,1,8hrs,low,691,occasion,wedding,normal
images/375.jpg,medium,warm_beige,1,5,bold_red,3,soft_blush,1,black,3,natural_concealer,2,12hrs,low,2382,occasion,party,normal
images/361.jpg,medium,beige,1,2,red,3,soft_blush,2,black,3,natural_concealer,1,12hrs,medium,1501,simple,normal,normal
images/407.jpg,medium,sand,3,5,nude,3,soft_blush,2,black,3,natural_concealer,1,8hrs,low,2326,occasion,office,normal
